country,from_1993Q1,from_2000Q1,from_2003Q1,from_2005Q1,from_2010Q1,from_2015Q1,from_2016Q1,ISO3,income_group,region
"Netherlands, The",True,True,True,True,True,True,True,NLD,High income,Europe & Central Asia
New Zealand,False,False,True,True,True,True,True,NZL,High income,East Asia & Pacific
Nicaragua,True,True,True,True,True,True,True,NIC,Lower middle income,Latin America & Caribbean
Nigeria,False,False,False,False,False,True,True,NGA,Lower middle income,Sub-Saharan Africa
"North Macedonia, Republic of",False,True,True,True,True,True,True,MKD,Upper middle income,Europe & Central Asia
Norway,False,True,True,True,True,True,True,NOR,High income,Europe & Central Asia
Pakistan,True,True,True,True,True,True,True,PAK,Lower middle income,South Asia
Panama,False,True,True,True,True,True,True,PAN,High income,Latin America & Caribbean
Papua New Guinea,True,True,True,True,True,True,True,PNG,Lower middle income,East Asia & Pacific
Paraguay,False,True,True,True,True,True,True,PRY,Upper middle income,Latin America & Caribbean
Peru,True,True,True,True,True,True,True,PER,Upper middle income,Latin America & Caribbean
Philippines,True,True,True,True,True,True,True,PHL,Lower middle income,East Asia & Pacific
"Poland, Republic of",False,True,True,True,True,True,True,POL,High income,Europe & Central Asia
Portugal,True,True,True,True,True,True,True,PRT,High income,Europe & Central Asia
Qatar,False,False,False,False,False,True,True,QAT,High income,Middle East & North Africa
Romania,True,True,True,True,True,True,True,ROU,High income,Europe & Central Asia
Russian Federation,False,True,True,True,True,True,True,RUS,High income,Europe & Central Asia
Rwanda,False,False,False,False,False,False,False,RWA,Low income,Sub-Saharan Africa
Samoa,False,False,False,True,True,True,True,WSM,Lower middle income,East Asia & Pacific
Saudi Arabia,False,False,False,False,True,True,True,SAU,High income,Middle East & North Africa
"Serbia, Republic of",False,False,False,False,True,True,True,SRB,Upper middle income,Europe & Central Asia
Seychelles,False,False,False,True,True,True,True,SYC,High income,Sub-Saharan Africa
Singapore,False,True,True,True,True,True,True,SGP,High income,East Asia & Pacific
"Sint Maarten, Kingdom of the Netherlands",False,False,False,False,False,True,True,SXM,High income,Latin America & Caribbean
Slovak Republic,True,True,True,True,True,True,True,SVK,High income,Europe & Central Asia
"Slovenia, Republic of",True,True,True,True,True,True,True,SVN,High income,Europe & Central Asia
Solomon Islands,False,False,False,False,True,True,True,SLB,Lower middle income,East Asia & Pacific
South Africa,True,True,True,True,True,True,True,ZAF,Upper middle income,Sub-Saharan Africa
Spain,True,True,True,True,True,True,True,ESP,High income,Europe & Central Asia
Sri Lanka,True,True,True,True,True,True,True,LKA,Lower middle income,South Asia
Sudan,False,True,True,True,True,True,True,SDN,Low income,Sub-Saharan Africa
Suriname,False,False,False,True,True,True,True,SUR,Upper middle income,Latin America & Caribbean
Sweden,True,True,True,True,True,True,True,SWE,High income,Europe & Central Asia
Switzerland,False,True,True,True,True,True,True,CHE,High income,Europe & Central Asia
"São Tomé and Príncipe, Democratic Republic of",False,False,False,False,False,True,True,STP,Lower middle income,Sub-Saharan Africa
"Tajikistan, Republic of",False,False,True,True,True,True,True,TJK,Lower middle income,Europe & Central Asia
