ISO3,year,v2x_libdem,v2cltort,v2clkill,v2x_accountability,v2x_clphy,v2x_rule,v2xcl_prpty
MEX,1946,0.095,-0.534,-0.402,-0.566,0.374,0.243,0.685
MEX,1947,0.095,-0.534,-0.402,-0.564,0.374,0.243,0.685
MEX,1948,0.095,-0.534,-0.402,-0.563,0.374,0.243,0.685
MEX,1949,0.095,-0.534,-0.402,-0.562,0.374,0.243,0.685
MEX,1950,0.095,-0.534,-0.402,-0.568,0.374,0.243,0.685
MEX,1951,0.095,-0.534,-0.402,-0.556,0.374,0.243,0.685
MEX,1952,0.095,-0.534,-0.402,-0.562,0.374,0.243,0.685
MEX,1953,0.095,-0.534,-0.189,-0.555,0.4,0.243,0.685
MEX,1954,0.104,-0.534,-0.189,-0.549,0.4,0.243,0.744
MEX,1955,0.105,-0.534,-0.189,-0.534,0.4,0.243,0.744
MEX,1956,0.105,-0.534,-0.189,-0.529,0.4,0.243,0.744
MEX,1957,0.105,-0.534,-0.189,-0.529,0.4,0.243,0.744
MEX,1958,0.104,-0.711,-0.189,-0.539,0.38,0.243,0.744
MEX,1959,0.103,-0.711,-0.381,-0.543,0.351,0.243,0.744
MEX,1960,0.104,-0.711,-0.381,-0.548,0.351,0.243,0.744
MEX,1961,0.104,-0.711,-0.381,-0.534,0.351,0.243,0.744
MEX,1962,0.104,-0.711,-0.381,-0.536,0.351,0.243,0.744
MEX,1963,0.104,-0.711,-0.381,-0.538,0.351,0.243,0.744
MEX,1964,0.103,-1.029,-0.381,-0.548,0.309,0.243,0.744
MEX,1965,0.103,-1.029,-0.381,-0.542,0.309,0.243,0.744
MEX,1966,0.103,-1.029,-0.381,-0.543,0.309,0.243,0.744
MEX,1967,0.104,-1.029,-0.381,-0.493,0.309,0.243,0.744
MEX,1968,0.104,-1.029,-0.381,-0.506,0.309,0.243,0.744
MEX,1969,0.106,-1.029,-0.381,-0.484,0.309,0.243,0.744
MEX,1970,0.107,-1.029,-0.381,-0.497,0.309,0.245,0.744
MEX,1971,0.107,-1.029,-0.381,-0.487,0.309,0.245,0.744
MEX,1972,0.108,-1.029,-0.381,-0.471,0.309,0.245,0.744
MEX,1973,0.108,-1.029,-0.381,-0.474,0.309,0.245,0.744
MEX,1974,0.107,-1.029,-0.381,-0.466,0.309,0.245,0.744
MEX,1975,0.108,-1.029,-0.381,-0.461,0.309,0.245,0.744
MEX,1976,0.112,-1.029,-0.381,-0.402,0.309,0.245,0.744
MEX,1977,0.122,-0.527,0.137,-0.346,0.443,0.245,0.744
MEX,1978,0.127,-0.527,0.137,-0.316,0.443,0.245,0.744
MEX,1979,0.127,-0.527,0.137,-0.306,0.443,0.245,0.744
MEX,1980,0.128,-0.527,0.137,-0.308,0.443,0.245,0.744
MEX,1981,0.129,-0.527,0.137,-0.3,0.443,0.246,0.744
MEX,1982,0.136,-0.527,0.137,-0.202,0.443,0.281,0.744
MEX,1983,0.142,-0.527,0.137,-0.194,0.443,0.292,0.744
MEX,1984,0.142,-0.527,0.137,-0.183,0.443,0.292,0.744
MEX,1985,0.142,-0.527,0.137,-0.161,0.443,0.292,0.744
MEX,1986,0.143,-0.527,0.137,-0.16,0.443,0.292,0.744
MEX,1987,0.145,-0.527,0.137,-0.153,0.443,0.292,0.744
MEX,1988,0.159,-0.527,0.137,-0.024,0.443,0.295,0.744
MEX,1989,0.172,-0.527,0.34,0.036,0.473,0.31,0.744
MEX,1990,0.186,-0.527,0.34,0.092,0.473,0.333,0.744
MEX,1991,0.196,-0.308,0.34,0.152,0.502,0.333,0.744
MEX,1992,0.208,-0.308,0.34,0.143,0.502,0.333,0.744
MEX,1993,0.215,-0.308,0.34,0.184,0.502,0.333,0.744
MEX,1994,0.26,-0.308,0.34,0.345,0.502,0.445,0.744
MEX,1995,0.281,-0.308,0.7,0.379,0.549,0.483,0.744
MEX,1996,0.293,-0.308,0.7,0.481,0.549,0.483,0.744
MEX,1997,0.346,-0.308,0.7,0.758,0.549,0.501,0.744
MEX,1998,0.378,-0.308,0.7,0.794,0.549,0.501,0.744
MEX,1999,0.381,-0.308,0.7,0.812,0.549,0.501,0.744
MEX,2000,0.481,-0.308,0.898,1.038,0.575,0.613,0.744
MEX,2001,0.484,-0.461,0.898,1.046,0.553,0.616,0.744
MEX,2002,0.494,-0.461,0.898,1.061,0.553,0.616,0.744
MEX,2003,0.499,-0.461,0.898,1.109,0.553,0.591,0.744
MEX,2004,0.505,-0.461,0.898,1.111,0.553,0.591,0.744
MEX,2005,0.505,-0.461,0.898,1.111,0.553,0.591,0.744
MEX,2006,0.478,-0.761,0.707,0.987,0.485,0.592,0.744
MEX,2007,0.454,-0.544,0.766,0.982,0.527,0.583,0.744
MEX,2008,0.456,-0.544,0.766,1.002,0.527,0.584,0.744
MEX,2009,0.459,-0.544,0.766,1.03,0.527,0.584,0.744
MEX,2010,0.465,-0.697,0.719,1.033,0.497,0.587,0.744
MEX,2011,0.468,-0.697,0.719,1.033,0.497,0.587,0.744
MEX,2012,0.457,-0.697,0.74,0.999,0.501,0.556,0.744
MEX,2013,0.42,-0.702,0.764,0.934,0.504,0.473,0.744
MEX,2014,0.421,-0.773,0.667,0.932,0.482,0.473,0.744
MEX,2015,0.433,-0.602,0.761,0.943,0.517,0.483,0.744
MEX,2016,0.434,-0.602,0.761,0.962,0.517,0.483,0.744
MEX,2017,0.44,-0.551,0.705,0.99,0.517,0.487,0.774
MEX,2018,0.452,-0.551,0.705,1.091,0.517,0.485,0.808
MEX,2019,0.428,-0.589,0.586,1.038,0.497,0.511,0.825
MEX,2020,0.406,-0.589,0.586,0.96,0.497,0.498,0.825
MEX,2021,0.371,-0.589,0.693,0.897,0.512,0.479,0.825
MEX,2022,0.33,-0.589,0.693,0.814,0.512,0.441,0.825
MEX,2023,0.302,-0.589,0.693,0.716,0.512,0.433,0.825
MEX,2024,0.246,-0.589,0.526,0.497,0.489,0.388,0.846
MEX,2025,0.221,-0.589,0.526,0.469,0.489,0.355,0.846
SUR,1900,0.154,0.936,0.758,0.287,0.711,0.792,0.705
SUR,1901,0.154,0.936,0.758,0.283,0.711,0.792,0.705
SUR,1902,0.154,0.936,0.758,0.286,0.711,0.792,0.705
SUR,1903,0.154,0.936,0.758,0.297,0.711,0.792,0.705
SUR,1904,0.154,0.936,0.758,0.299,0.711,0.792,0.705
SUR,1905,0.154,0.936,0.758,0.294,0.711,0.792,0.705
SUR,1906,0.154,0.936,0.758,0.298,0.711,0.792,0.705
SUR,1907,0.154,0.936,0.758,0.29,0.711,0.792,0.705
SUR,1908,0.154,0.936,0.758,0.283,0.711,0.792,0.705
SUR,1909,0.154,0.936,0.758,0.292,0.711,0.792,0.705
SUR,1910,0.154,0.936,0.758,0.288,0.711,0.792,0.705
SUR,1911,0.154,0.936,0.758,0.286,0.711,0.792,0.705
SUR,1912,0.154,0.936,0.758,0.291,0.711,0.792,0.705
SUR,1913,0.154,0.936,0.758,0.296,0.711,0.792,0.705
SUR,1914,0.154,0.936,0.758,0.29,0.711,0.792,0.705
SUR,1915,0.154,0.936,0.758,0.289,0.711,0.792,0.705
SUR,1916,0.154,0.936,0.758,0.291,0.711,0.792,0.705
SUR,1917,0.154,0.936,0.758,0.291,0.711,0.792,0.705
SUR,1918,0.154,0.936,0.758,0.29,0.711,0.792,0.705
SUR,1919,0.154,0.936,0.758,0.282,0.711,0.792,0.705
SUR,1920,0.154,0.936,0.758,0.298,0.711,0.792,0.705
SUR,1921,0.154,0.936,0.758,0.298,0.711,0.792,0.705
SUR,1922,0.154,0.936,0.758,0.293,0.711,0.792,0.705
SUR,1923,0.154,0.936,0.758,0.289,0.711,0.792,0.705
SUR,1924,0.154,0.936,0.758,0.293,0.711,0.792,0.705
SUR,1925,0.154,0.936,0.758,0.284,0.711,0.792,0.705
SUR,1926,0.154,0.936,0.758,0.298,0.711,0.792,0.705
SUR,1927,0.154,0.936,0.758,0.289,0.711,0.792,0.705
SUR,1928,0.154,0.936,0.758,0.299,0.711,0.792,0.705
SUR,1929,0.154,0.936,0.758,0.294,0.711,0.792,0.705
SUR,1930,0.154,0.936,0.758,0.284,0.711,0.792,0.705
SUR,1931,0.154,0.936,0.758,0.297,0.711,0.792,0.705
SUR,1932,0.154,0.936,0.758,0.294,0.711,0.792,0.705
SUR,1933,0.154,0.936,0.758,0.298,0.711,0.804,0.705
SUR,1934,0.154,0.936,0.758,0.303,0.711,0.804,0.705
SUR,1935,0.154,0.936,0.758,0.3,0.711,0.804,0.705
SUR,1936,0.154,0.936,0.758,0.3,0.711,0.804,0.705
SUR,1937,0.154,0.936,0.758,0.323,0.711,0.804,0.705
SUR,1938,0.154,0.936,0.758,0.318,0.711,0.804,0.705
SUR,1939,0.154,0.936,0.758,0.331,0.711,0.804,0.705
SUR,1940,0.154,0.936,0.758,0.316,0.711,0.803,0.705
SUR,1941,0.154,0.936,0.758,0.326,0.711,0.803,0.705
SUR,1942,0.154,0.936,0.758,0.308,0.711,0.795,0.705
SUR,1943,0.154,0.936,0.758,0.311,0.711,0.795,0.705
SUR,1944,0.154,0.936,0.758,0.328,0.711,0.795,0.705
SUR,1945,0.154,0.936,0.758,0.336,0.711,0.795,0.705
SUR,1946,0.16,1.272,0.758,0.382,0.75,0.814,0.705
SUR,1947,0.16,1.272,0.758,0.391,0.75,0.814,0.705
SUR,1948,0.16,1.272,0.758,0.391,0.75,0.814,0.705
SUR,1949,0.261,1.272,0.758,0.952,0.75,0.805,0.705
SUR,1950,0.406,1.272,0.758,1.011,0.75,0.805,0.705
SUR,1951,0.407,1.272,0.758,1.008,0.75,0.805,0.705
SUR,1952,0.407,1.272,0.758,1.009,0.75,0.805,0.705
SUR,1953,0.407,1.272,0.758,1.013,0.75,0.805,0.705
SUR,1954,0.407,1.272,0.758,1.013,0.75,0.805,0.705
SUR,1955,0.423,1.272,1.006,1.083,0.773,0.807,0.773
SUR,1956,0.423,1.272,1.006,1.073,0.773,0.807,0.773
SUR,1957,0.425,1.272,1.006,1.091,0.773,0.807,0.773
SUR,1958,0.425,1.272,1.006,1.095,0.773,0.807,0.773
SUR,1959,0.426,1.272,1.006,1.091,0.773,0.807,0.773
SUR,1960,0.426,1.272,1.006,1.093,0.773,0.807,0.773
SUR,1961,0.426,1.272,1.006,1.086,0.773,0.807,0.773
SUR,1962,0.426,1.272,1.006,1.093,0.773,0.807,0.773
SUR,1963,0.428,1.59,1.006,1.092,0.805,0.807,0.773
SUR,1964,0.428,1.59,1.006,1.098,0.805,0.807,0.773
SUR,1965,0.428,1.59,1.006,1.101,0.805,0.807,0.773
SUR,1966,0.428,1.59,1.006,1.09,0.805,0.807,0.773
SUR,1967,0.427,1.59,1.006,1.093,0.805,0.807,0.773
SUR,1968,0.427,1.59,1.006,1.101,0.805,0.807,0.773
SUR,1969,0.427,1.59,1.006,1.097,0.805,0.807,0.773
SUR,1970,0.43,1.59,1.006,1.112,0.805,0.807,0.773
SUR,1971,0.43,1.59,1.006,1.107,0.805,0.807,0.773
SUR,1972,0.43,1.59,1.006,1.107,0.805,0.807,0.773
SUR,1973,0.426,1.59,1.006,1.08,0.805,0.807,0.773
SUR,1974,0.432,1.59,1.72,1.103,0.864,0.802,0.807
SUR,1975,0.337,2.126,1.72,1.161,0.9,0.809,0.807
SUR,1976,0.617,2.126,1.72,1.244,0.9,0.81,0.807
SUR,1977,0.613,2.126,1.72,1.227,0.9,0.81,0.807
SUR,1978,0.624,2.126,1.72,1.266,0.9,0.81,0.807
SUR,1979,0.624,2.126,1.72,1.266,0.9,0.81,0.807
SUR,1980,0.174,0.538,-1.553,0.453,0.359,0.676,0.731
SUR,1981,0.142,0.538,-1.553,-0.11,0.359,0.658,0.731
SUR,1982,0.142,0.538,-1.553,-0.147,0.359,0.653,0.731
SUR,1983,0.141,0.538,-1.553,-0.178,0.359,0.653,0.731
SUR,1984,0.141,0.538,-1.553,-0.139,0.359,0.653,0.731
SUR,1985,0.185,0.538,-1.553,-0.047,0.359,0.653,0.731
SUR,1986,0.186,0.538,-1.553,-0.05,0.359,0.653,0.731
SUR,1987,0.226,0.538,-1.553,0.588,0.359,0.653,0.731
SUR,1988,0.474,0.635,-0.832,1.033,0.464,0.7,0.731
SUR,1989,0.576,0.968,0.186,1.232,0.65,0.704,0.731
SUR,1990,0.547,1.508,1.415,1.111,0.835,0.753,0.871
