year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
2010,12313.5566919249,10934.79494629,-2.11971044632016,37.0314238165867,28.5120630539322,0.146953956678162,,89770.0,16.2787980957365,159795374.999999,0.626671133761484,6151507.515,198.162692424328,,,123.813585199693,23.2123490328627,,,12.76014,0.4410844,0.5994724,0.8564804,0.1074652,0.2164882,0.2527833,SYC
2011,13843.7116081878,12110.0937461973,1.06438138123271,34.816249355555,26.7303038729305,0.149780680938161,,87441.0,13.5270690867223,143240665.103454,0.747794752809121,7918538.5294137,210.075382747992,,,130.476995382586,28.7681398416887,,,11.79602,0.4403622,0.5987727,0.7752841,0.1120002,0.1472836,0.1595657,SYC
2012,14135.0010570653,12337.1554669388,10.4372838765698,37.7299203495349,26.9285057493869,0.1644793129234,,88303.0,56.2882654419862,613208776.273067,17.2240389259102,187640030.285225,222.178254853141,,,137.106577057151,21.044171865425,,,12.8595,0.4106607,0.710415,0.7257334,0.1387238,0.1804289,0.1537598,SYC
2013,14050.3135581314,14821.2921476077,5.64023151837686,38.5669057079413,29.0825644520124,0.136887236537623,,89949.0,4.29723724959436,57289065.622999,-5.10102526068887,-68004849.1462197,196.517733268793,,,133.985679723389,21.3060640788301,95.25222,,12.36134,0.4170086,0.6404284,0.7331354,0.1582385,0.1191899,0.0914345,SYC
2014,14395.6158118771,15188.1902175113,6.43587163230626,29.0548988749451,24.1155656987133,0.122451367247677,,91359.0,7.80896304548278,108355443.10197,-5.54002946339032,-76872222.830005,213.354469426486,,,144.60603512527,20.2648728190036,94.46217,,13.23091,0.4713108,0.5730461,0.4579186,0.140185,-0.0884944,0.072685,SYC
2015,15333.1051727105,15333.1051727105,-1.00318641871358,26.8795153716518,23.1163830937744,0.100073979606541,,93419.0,7.39272196242003,105893597.203314,-6.07829345726849,-87065679.2341785,187.475012467679,,,138.248624452112,19.9020796418913,94.64716,,11.98379,0.9238577,0.6575775,0.7647495,0.2919363,0.2833423,0.2346279,SYC
2016,16962.6753972731,16566.9946042294,-2.29456846888873,25.1347394249892,21.3645284394403,0.0990332020466637,,94677.0,4.35742188671966,68346743.9281733,-6.87608663470146,-107852336.695281,180.866188390939,,,138.276832299833,18.9726919259522,94.02944,,11.6348,0.9114965,0.8131034,0.7625994,0.337312,0.2523062,0.3035302,SYC
2017,17921.5731976918,17480.3651911372,2.33249048759716,24.5351766928824,20.1188450018735,0.11671286310133,,95843.0,11.7771697387857,197311244.14602,32.4759631441097,544092751.902994,197.442236417869,,,148.791660366282,17.4797868839336,92.02707,,11.5937,0.7220791,0.6187826,0.813523,0.2519102,0.1296569,0.2947312,SYC
2018,18628.1862276696,18440.2340460932,3.44738196587787,21.9869866164983,16.710109796309,0.121453194976473,,96762.0,17.1030662941746,305172393.791332,-0.575708152936166,-10272440.7503792,185.7075372109,,,155.551112656467,17.6373435326843,92.21011,,10.7789,0.8163729,0.6505108,0.7800693,0.4346563,0.2527705,0.3385322,SYC
2019,19481.6461053742,19141.5118743615,0.126950238609624,22.0855945287218,18.5518993126064,0.0974947166802459,,97625.0,13.7575701960234,257086351.804392,-0.436021283910617,-8147886.55209249,173.407846880196,,,164.617084572886,17.1032724181895,,,,1.0734136,0.5618507,0.6921848,0.4330134,0.2743209,0.3516215,SYC
